pair,engagement by Utterance,engagement by Second,mean engagement by Utterance,mean engagement by Second,openness,conscientiousness,extraversion,agreeableness,neuroticism,openness difference,conscientiousness difference,extraversion difference,agreeableness difference,neuroticism difference
P016_P036,1.0941064305051424,1.0799870815464594,1.0738076189175763,1.051078458526316,0.62,0.44,0.45,0.35,0.57,-0.10999999999999999,-0.15999999999999998,-0.26999999999999996,-0.050000000000000044,-0.06000000000000005
P036_P004,1.162284776908382,1.1550579924973419,1.2355049366088113,1.1886463891660313,0.73,0.6,0.72,0.4,0.63,0.58,0.43999999999999995,0.58,0.4,-0.09999999999999998
P036_P012,1.2004431110792468,1.2149016440213538,1.2355049366088113,1.1886463891660313,0.73,0.6,0.72,0.4,0.63,0.22999999999999998,0.19999999999999996,0.13,-0.4,0.4
P036_P016,1.3573926652046784,1.3969480812447788,1.2355049366088113,1.1886463891660313,0.73,0.6,0.72,0.4,0.63,0.10999999999999999,0.15999999999999998,0.26999999999999996,0.050000000000000044,0.06000000000000005
P009_P039,1.2652967259815693,1.2460732688549763,1.2939172549390574,1.2400016054001541,0.31,0.2,0.48,0.55,0.23,0.03999999999999998,-0.52,-0.31000000000000005,0.25000000000000006,-0.37
P009_P042,1.2865859921412366,1.274361737140351,1.2939172549390574,1.2400016054001541,0.31,0.2,0.48,0.55,0.23,0.0,-0.32,0.16999999999999998,0.050000000000000044,-0.33999999999999997
P039_P009,1.2438281153021444,1.232634514389964,1.2574372920056824,1.2337750981659261,0.27,0.72,0.79,0.3,0.6,-0.03999999999999998,0.52,0.31000000000000005,-0.25000000000000006,0.37
P039_P042,1.2565294859952483,1.236869209613304,1.2574372920056824,1.2337750981659261,0.27,0.72,0.79,0.3,0.6,-0.03999999999999998,0.19999999999999996,0.48000000000000004,-0.2,0.030000000000000027
P042_P009,1.2107050178992222,1.1831519055443098,1.235730187080578,1.1974556416009923,0.31,0.52,0.31,0.5,0.57,0.0,0.32,-0.16999999999999998,-0.050000000000000044,0.33999999999999997
P042_P039,1.2052124817239975,1.1664156795889078,1.235730187080578,1.1974556416009923,0.31,0.52,0.31,0.5,0.57,0.03999999999999998,-0.19999999999999996,-0.48000000000000004,0.2,-0.030000000000000027
P015_P032,0.8613403950586478,0.8977887975493424,0.9785836151520113,0.9438625030428612,0.38,0.6,0.69,0.85,0.33,-0.30999999999999994,-0.36,-0.17000000000000004,0.25,0.16
P015_P045,0.9410501333960627,0.9201957732021495,0.9785836151520113,0.9438625030428612,0.38,0.6,0.69,0.85,0.33,-0.19999999999999996,0.48,0.5199999999999999,0.44999999999999996,-0.26999999999999996
P015_P056,0.9704259078947369,0.9642569329882085,0.9785836151520113,0.9438625030428612,0.38,0.6,0.69,0.85,0.33,0.15,-0.4,0.3499999999999999,0.09999999999999998,-0.07
P032_P015,1.2032851795495685,1.1897225110380116,1.2400737162564917,1.182122495260395,0.69,0.96,0.86,0.6,0.17,0.30999999999999994,0.36,0.17000000000000004,-0.25,-0.16
P032_P045,1.1421197152686406,1.1371837869843529,1.2400737162564917,1.182122495260395,0.69,0.96,0.86,0.6,0.17,0.10999999999999999,0.84,0.69,0.19999999999999996,-0.42999999999999994
P032_P056,1.240759458367132,1.2262540780030673,1.2400737162564917,1.182122495260395,0.69,0.96,0.86,0.6,0.17,0.45999999999999996,-0.040000000000000036,0.52,-0.15000000000000002,-0.23
P045_P015,1.2344309185763978,1.2253714267715858,1.2907052035567363,1.2297555777293645,0.58,0.12,0.17,0.4,0.6,0.19999999999999996,-0.48,-0.5199999999999999,-0.44999999999999996,0.26999999999999996
P045_P032,1.2036037042746603,1.1880330938111672,1.2907052035567363,1.2297555777293645,0.58,0.12,0.17,0.4,0.6,-0.10999999999999999,-0.84,-0.69,-0.19999999999999996,0.42999999999999994
P045_P056,1.2774226199242722,1.2953668663026499,1.2907052035567363,1.2297555777293645,0.58,0.12,0.17,0.4,0.6,0.35,-0.88,-0.17,-0.35,0.19999999999999996
P056_P015,1.198447550139237,1.176177774798107,1.1664432409849255,1.1072459098596557,0.23,1.0,0.34,0.75,0.4,-0.15,0.4,-0.3499999999999999,-0.09999999999999998,0.07
P056_P032,1.1279311614337568,1.1208797657054095,1.1664432409849255,1.1072459098596557,0.23,1.0,0.34,0.75,0.4,-0.45999999999999996,0.040000000000000036,-0.52,0.15000000000000002,0.23
P056_P045,1.1167516358460388,1.1135093919669672,1.1664432409849255,1.1072459098596557,0.23,1.0,0.34,0.75,0.4,-0.35,0.88,0.17,0.35,-0.19999999999999996
P003_P046,1.1366234448832848,1.1383275911114155,1.1747727221445043,1.1297812138577283,0.58,0.8,0.48,0.55,0.33,0.19999999999999996,0.36000000000000004,-0.31000000000000005,0.0,-0.2
P003_P051,1.240494818377193,1.2191089392105265,1.1747727221445043,1.1297812138577283,0.58,0.8,0.48,0.55,0.33,-0.3400000000000001,-0.15999999999999992,-0.49,-0.1499999999999999,0.13
P003_P053,1.1961779611025112,1.2079380827576756,1.1747727221445043,1.1297812138577283,0.58,0.8,0.48,0.55,0.33,-0.27,-0.039999999999999925,0.09999999999999998,-0.25,0.0
P046_P003,1.5270799555214905,1.4820775041666099,1.5055666356082458,1.4079713238560492,0.38,0.44,0.79,0.55,0.53,-0.19999999999999996,-0.36000000000000004,0.31000000000000005,0.0,0.2
