P091,P106,P115
1.044444,1.0918905559210526,2.0
1.044444,1.13043475,2.0
1.044444,1.092391,1.29347842105263
1.044444,1.0662041149122798,1.032609
1.044444,1.2924771315789498,1.032609
1.0444440000000002,1.9536041263157897,1.0326090000000003
1.22420607142857,2.0,1.032609
1.677778,2.0,1.032609
1.677778,2.0,1.032609
1.48849207142857,1.98145776470588,1.032609
1.142222571428572,1.1700414429411754,1.6822655263157897
1.055556,0.945651999999999,2.0
1.055556,0.9773547105263155,1.9962258425925932
1.055556,1.5252668070175435,1.6628369142300201
1.055556,0.997368184210526,1.081522
1.106349410714285,1.2596252105263175,1.081522
1.1130953749999999,1.2699512105263175,1.081522
1.08015892857143,1.038043,1.081522
1.077778,1.645737842105265,1.081522
1.0745681333333332,2.0,1.0815219999999999
1.0574078,2.0,1.081522
1.055556,2.0,1.081522
1.914144030612245,1.0234962443609021,0.6393383012531327
1.74246042857143,1.0,1.081522
2.0,1.0,0.552917947368421
1.6366401428571444,1.65341342105263,0.559783
1.1388887857142864,1.74713957894737,0.559783
1.38037026666667,1.57465673684211,0.559783
1.038889,1.7421815438596502,0.7886420282651073
1.038889,0.994565,1.57537192105263
1.038889,0.994565,2.0
1.940598299145299,0.9945649999999999,1.0980782638076667
2.0,0.994565,0.913043
1.3591975333333333,0.994565,0.8192217368421053
1.1128063538461535,1.1871587732793523,0.674001170040486
1.038889,2.0,0.636870657894737
1.8927248444444433,1.630244,0.641304
1.07448228717949,1.7579090289473698,0.6440691754385967
1.033333,1.021739,1.54605260526316
1.033333,1.021739,2.0
1.033333,1.3811498157894748,1.6268115277777802
1.033333,1.7876619298245615,1.23452563425926
1.08015842857143,1.971586315789473,1.038043
1.366667,1.264015868421055,1.038043
0.9944394250915751,1.4578088070175432,1.6820198741228083
0.994017307692308,1.76315784210526,1.32808915789474
0.9823164375000002,2.0,1.193044848994883
1.05,2.0,1.097826
1.7051768241758238,1.674427863157894,1.097826
1.86309514285714,1.98884436842105,1.097826
1.98293621428571,1.26687636842105,1.097826
1.6301101745682893,1.6228752255639098,1.013157766917294
0.9168066546485261,1.0956196766917299,1.003841
1.09298260526316,1.638730015789475,1.38645829722222
1.10818721052632,1.51115563157895,1.32635865
1.0777780000000001,1.0823986250000002,1.0738461403508766
1.077778,1.56441634868421,1.070652
1.077778,1.74227684210526,1.070652
1.0777780000000001,1.0544256357142858,1.070652
1.077778,1.054348,1.070652
1.0777780000000001,1.054348,1.0594607039473687
1.49460794117647,1.275743842105265,1.04885291111111
1.91143788235294,1.49713968421053,1.05857522222222
1.206862676470585,1.0919623157894751,1.334668263157895
1.0285404509803935,1.081522,1.2860413684210534
1.027778,1.376573368421055,1.7625858947368451
1.027778,1.6882866842105275,1.414974368421054
1.027778,1.29061778947368,0.983696
1.05057211764706,1.9047482763157901,0.983696
1.55947723529412,1.5290332105263151,0.983696
1.3877996470588234,1.6823036842105266,0.983696
1.1979461344537814,1.4682311842105256,0.983696
1.055556,1.543699934210525,0.983696
1.055556,1.1837816842105249,0.983696
1.055556,1.34482617368421,1.4162631578947376
1.055556,1.94822652631579,1.1288045
1.055556,1.1285322666666666,1.8481333271929834
1.055556,1.038043,1.14054927777778
1.055556,1.36355810526316,1.23626978947368
1.055556,1.7799627500000001,1.1791330131578925
1.055556,1.045194289473685,1.086956
1.5767975588235301,1.44415752105263,1.086956
1.5767975588235301,1.44415752105263,1.086956
1.985784235294115,1.826802078947365,1.37728805263158
1.985784235294115,1.826802078947365,1.37728805263158
1.8367647352941199,1.1095535,1.14273460526316
